"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"family";"genus";"specificEpithet";"taxonRank"
336;"Cupressus lusitanica";"Cupressus lusitanica";"Mill.";"Cupressus lusitanica";"Mill.";"Cupressaceae";"Cupressus";"lusitanica";"species"
436;"Cupressus macrocarpa";"Cupressus macrocarpa";"Hartw.";"Cupressus macrocarpa";"Hartw.";"Cupressaceae";"Cupressus";"macrocarpa";"species"
36;"Cupressus sempervirens";"Cupressus sempervirens";"L.";"Cupressus sempervirens";"L.";"Cupressaceae";"Cupressus";"sempervirens";"species"
936;"Cupressus spp.";"Cupressus";;"Cupressus";"L.";"Cupressaceae";"Cupressus";;"genus"
153;"Cytisophyllum sessilifolium";"Cytisophyllum sessilifolium";"(L.) O.Lang";"Cytisophyllum sessilifolium";"(L.) O.Lang";"Fabaceae";"Cytisophyllum";"sessilifolium";"species"
167;"Cytisus arboreus";"Cytisus arboreus";"(Desf.) DC.";"Cytisus arboreus";"DC.";"Fabaceae";"Cytisus";"arboreus";"species"
1187;"Cytisus baeticus";"Cytisus baeticus";;"Cytisus arboreus";"DC.";"Fabaceae";"Cytisus";"arboreus";"species"
2167;"Cytisus cantabricus";"Cytisus cantabricus";"(Willk.) Rchb.f. & Beck in Rchb.";"Cytisus cantabricus";"Rchb. ex Briq.";"Fabaceae";"Cytisus";"cantabricus";"species"
9011;"Cytisus commutatus";"Cytisus commutatus";"(Willk.) Briq.";"Cytisus commutatus";"(Willk.) Briq.";"Fabaceae";"Cytisus";"commutatus";"species"
9201;"Cytisus commutatus";"Cytisus commutatus";"(Willk.) Briq.";"Cytisus commutatus";"(Willk.) Briq.";"Fabaceae";"Cytisus";"commutatus";"species"
9481;"Cytisus commutatus";"Cytisus commutatus";"(Willk.) Briq.";"Cytisus commutatus";"(Willk.) Briq.";"Fabaceae";"Cytisus";"commutatus";"species"
9074;"Cytisus fontanesii subsp. fontanesii";"Cytisus fontanesii fontanesii";"Spach in Bourg.";"Cytisus fontanesii";"Spach ex Ball";"Fabaceae";"Cytisus";"fontanesii";"species"
1188;"Cytisus grandiflorus";"Cytisus grandiflorus";"(Brot.) DC.";"Cytisus grandiflorus";"DC.";"Fabaceae";"Cytisus";"grandiflorus";"species"
1168;"Cytisus malacifitanus";"Cytisus malacifitanus";;"Cytisus malacitanus";"Boiss.";"Fabaceae";"Cytisus";"malacitanus";"species"
3167;"Cytisus multiflorus";"Cytisus multiflorus";"(L´Hér.) Sweet";"Cytisus multiflorus";"Sweet";"Fabaceae";"Cytisus";"multiflorus";"species"
4167;"Cytisus oromediterraneus";"Cytisus oromediterraneus";"Rivas Mart. & al.";"Cytisus oromediterraneus";"Rivas Mart., T.E.Díaz, Fern.Prieto, Loidi & Penas";"Fabaceae";"Cytisus";"oromediterraneus";"species"
1167;"Cytisus scoparius";"Cytisus scoparius";"(L.) Link";"Cytisus scoparius";"(L.) Link";"Fabaceae";"Cytisus";"scoparius";"species"
4104;"Cytisus spp.";"Cytisus";;"Cytisus";"Desf.";"Fabaceae";"Cytisus";;"genus"
1189;"Cytisus striatus";"Cytisus striatus";"(Hill) Rothm.";"Cytisus striatus";"(Hill) Rothm.";"Fabaceae";"Cytisus";"striatus";"species"
1191;"Cytisus tribracteolatus";"Cytisus tribracteolatus";;"Genista tribracteolata";"(Webb) Pau";"Fabaceae";"Genista";"tribracteolata";"species"
1190;"Cytisus villosus";"Cytisus villosus";"Pourr.";"Cytisus villosus";"Pourr.";"Fabaceae";"Cytisus";"villosus";"species"
120;"Daboecia cantabrica";"Daboecia cantabrica";"(Huds.) K.Koch";"Daboecia cantabrica";"(Huds.) K.Koch";"Ericaceae";"Daboecia";"cantabrica";"species"
1110;"Daphne gnidium";"Daphne gnidium";"L.";"Daphne gnidium";"L.";"Thymelaeaceae";"Daphne";"gnidium";"species"
2110;"Daphne laureola";"Daphne laureola";"L.";"Daphne laureola";"L.";"Thymelaeaceae";"Daphne";"laureola";"species"
3110;"Daphne mezereum";"Daphne mezereum";"L.";"Daphne mezereum";"L.";"Thymelaeaceae";"Daphne";"mezereum";"species"
110;"Daphne spp.";"Daphne";;"Daphne";"L.";"Thymelaeaceae";"Daphne";;"genus"
178;"Dittrichia viscosa";"Dittrichia viscosa";"(L.) Greuter";"Dittrichia viscosa";"(L.) Greuter";"Asteraceae";"Dittrichia";"viscosa";"species"
